CODMUNDV;NOME_MUNIC;NOME_UF;UF;REG;CENTR;RM;MUN_HIS_TUR;POP_2010;POP_URB_10;POP_2015;POP_2016;TXC_POP_10_16;AREA;DENS_2016;PART_12;PART_16;ANTEN_TOTAL;AREA_URB;PIB;PIB_PER_CAP;PRIN_ATIVIDADE;RENDA;VEIC_2016;AUTO_2016;MOTO_2016;VEIC_2010;AUTO_2010;MOTO_2010;TXC_AUTO_10_16;TXC_MOTO_10_16;ACESS;PAV;CAL;ARB;LOGR;TX_ACID_TRAN;IDH;PD;PD_ANO;PDMU;Zona;LON;LAT;dif_EuclRede
3537800;Piedade;SÃO PAULO;SP;Sudeste;Centro Local;RMS;1;52143;0,455669984;54717;54907;0,012118973;746,9;73,51318784;PSDB;PSDB;17;0;940332,4163;17310,02368;Serviços;566,7767692;30911;19474;8489;20421;12329;5926;0,09573482;0,074531069;0,006447401;0,312472026;0,272113071;0,290205595;0,272962609;33,01359059;0,716;1;2006;0;615;-47,4172824;-23,71613753;5951,881834
3514908;Elias Fausto;SÃO PAULO;SP;Sudeste;Centro Local;AUP;0;15775;0,796069731;17085;17241;0,020143822;202,7;85,05673409;PSDB;PMDB;10;0;478003,3707;28517,08452;Serviços;693,0246667;6943;4586;1630;4100;2574;972;0,122445082;0,108930345;0,018302081;0,54198922;0,52696541;0,572131013;0,632468259;17,72421127;0,695;1;2013;0;709;-47,375238;-23,04243399;5050,664583
3504107;Atibaia;SÃO PAULO;SP;Sudeste;;MR Bragança;1;126603;0,910160107;137187;138449;0,020274989;478,4;289,4000836;PSD;PSB;93;101,34;4701014,214;34934,37629;Serviços;1021,743119;101223;69458;23521;69905;47041;17469;0,081058375;0,061298493;0,009877415;0,438426281;0,422889615;0,429900993;0,465030649;29,43448986;0,765;1;2006;1;901;-46,56484817;-23,12085811;3778,879952
3515103;Embu Guaçu;SÃO PAULO;SP;Sudeste;;RMSP;0;62769;0,973330784;67296;67788;0,017562305;154,9;437,6242737;PMDB;PSB;22;19,67;866631,8619;13076,69582;Serviços;603,114875;36019;25022;5856;17553;11829;3222;0,161648665;0,126925241;0,002193886;0,647499056;0,42404834;0,806902181;0,544409364;16,46903821;0,749;1;2007;0;110;-46,81268728;-23,83399426;5344,463314
3513801;Diadema;SÃO PAULO;SP;Sudeste;;RMSP;0;386089;1;412428;415180;0,016635284;30,8;13479,87013;PV;PV;92;55,74;13428069,27;33015,67491;Serviços;643,4212402;193984;135027;45195;132357;93000;29897;0,077426205;0,086156876;0,006650638;0,819983743;0,777048507;0,649653368;0,779630174;12,45077671;0,757;1;2008;0;108;-46,61142421;-23,69728754;3415,168209
3548807;São Caetano Do Sul;SÃO PAULO;SP;Sudeste;;RMSP;0;149263;1;158024;158825;0,014361416;15,4;10313,31169;PMDB;PSDB;72;30,72;15306267,13;97889,94215;Serviços;1804,24568;137566;110933;13949;114002;93957;10949;0,033775709;0,049623931;0,310885957;0,99588266;0,995110541;0,954915975;0,924133584;9,541681244;0,862;1;2006;1;134;-46,56606253;-23,62614077;2249,642606
3549953;São Lourenço Da Serra;SÃO PAULO;SP;Sudeste;;RMSP;0;13973;0,910255493;15177;15323;0,020878526;186,4;82,20493562;PMDB;SD;20;0,5;220531,3036;14826,6306;Serviços;578,4559259;7693;5709;1217;4316;3182;678;0,124014655;0,124118711;0,014433058;0,155540918;0,140033977;0,032051431;0,181983701;33,27122704;0,728;1;2008;0;135;-46,94345528;-23,8507127;4608,215797
3518800;Guarulhos;SÃO PAULO;SP;Sudeste;;RMSP;1;1221979;1;1324781;;0,020399147;319,2;4188,869048;PT;PSB;401;343,26;49392842,17;38016,45579;Serviços;751,3043167;612697;462233;89420;415420;312890;60203;0,081169667;0,082338997;0,018714705;0,74542754;0,732978089;0,582281951;0,728568352;15,85127843;0,763;1;2004;1;115;-46,51804543;-23,44549741;2854,213803
3552205;Sorocaba;SÃO PAULO;SP;Sudeste;Capital Regional C;RMS;1;586625;0,989823141;644919;652481;0,023967449;449;1453,187082;PSDB;DEM;248;277,16;26908886,58;42764,71848;Serviços;1072,751681;438436;325360;83956;306531;226297;60795;0,075318389;0,066686442;0,037969243;0,915898315;0,882090337;0,780762513;0,884110929;17,89113714;0,798;1;1966;1;600;-47,46296844;-23,49499062;2503,772301
3557006;Votorantim;SÃO PAULO;SP;Sudeste;;RMS;0;108809;0,961859773;117794;118858;0,020033858;183,7;647,022319;PSDB;DEM;33;21,11;2483534,045;21486,64658;Serviços;792,93225;62445;43936;14468;43357;30228;10369;0,077661134;0,068893227;0,00803244;0,877283302;0,8199672;0,766083176;0,659253704;11,99595565;0,767;1;2006;0;626;-47,44575341;-23,54398724;3253,895446
